Tahun,Jk,Umur,Penduduk
2020,Perempuan,20-24,10671
2020,Perempuan,25-29,10245
2020,Perempuan,30-34,10045
2020,Perempuan,35-39,10251
2020,Perempuan,40-44,9702
2020,Perempuan,45-49,8904
2020,Perempuan,50-54,7981
2020,Perempuan,55-59,6750
2020,Perempuan,60-64,5289
2020,Perempuan,65-69,3808
2020,Perempuan,70-74,2756
2020,Perempuan,75-79,1994
2020,Perempuan,80-84,1156
2020,Perempuan,85+,597
2021,Laki-laki,00-04,11508
2021,Laki-laki,05-09,12162
2021,Laki-laki,10-14,12120
2021,Laki-laki,15-19,11404
2021,Laki-laki,20-24,11227
2021,Laki-laki,25-29,10846
2021,Laki-laki,30-34,10544
2021,Laki-laki,35-39,10646
2021,Laki-laki,40-44,10102
2021,Laki-laki,45-49,9155
2021,Laki-laki,50-54,8122
2021,Laki-laki,55-59,6789
2021,Laki-laki,60-64,5170
2021,Laki-laki,65-69,3515
2021,Laki-laki,70-74,2181
2021,Laki-laki,75-79,1355
2021,Laki-laki,80-84,704
2021,Laki-laki,85+,302
2021,Perempuan,00-04,10907
2021,Perempuan,05-09,11543
2021,Perempuan,10-14,11504
2021,Perempuan,15-19,10816
2021,Perempuan,20-24,10675
2021,Perempuan,25-29,10320
2021,Perempuan,30-34,10046
2021,Perempuan,35-39,10206
2021,Perempuan,40-44,9815
2021,Perempuan,45-49,9022
2021,Perempuan,50-54,8119
2021,Perempuan,55-59,6936
2021,Perempuan,60-64,5491
2021,Perempuan,65-69,3976
2021,Perempuan,70-74,2768
2021,Perempuan,75-79,1995
2021,Perempuan,80-84,1161
2021,Perempuan,85+,600
2022,Laki-laki,00-04,11420
2022,Laki-laki,05-09,12000
2022,Laki-laki,10-14,12218
2022,Laki-laki,15-19,11527
2022,Laki-laki,20-24,11205
2022,Laki-laki,25-29,10934
2022,Laki-laki,30-34,10570
2022,Laki-laki,35-39,10580
2022,Laki-laki,40-44,10235
2022,Laki-laki,45-49,9279
2022,Laki-laki,50-54,8244
2022,Laki-laki,55-59,6952
2022,Laki-laki,60-64,5342
2022,Laki-laki,65-69,3650
2022,Laki-laki,70-74,2227
2022,Laki-laki,75-79,1339
2022,Laki-laki,80-84,689
2022,Laki-laki,85+,292
2022,Perempuan,00-04,10820
2022,Perempuan,05-09,11390
2022,Perempuan,10-14,11597
2022,Perempuan,15-19,10936
2022,Perempuan,20-24,10652
2022,Perempuan,25-29,10412
2022,Perempuan,30-34,10066
