Provinsi,Tahun,Tamu,Hotel,Jumlah
Jambi,2006,WNA,Non-Bintang,361
Jambi,2007,WNA,Non-Bintang,289
Jambi,2008,WNA,Non-Bintang,226
Jambi,2009,WNA,Non-Bintang,103
Jambi,2010,WNA,Non-Bintang,90
Jambi,2011,WNA,Non-Bintang,225
Jambi,2012,WNA,Non-Bintang,93
Jambi,2013,WNA,Non-Bintang,126.48
Jambi,2014,WNA,Non-Bintang,516.71
Jambi,2015,WNA,Non-Bintang,117.14
Jambi,2016,WNA,Non-Bintang,507
Jambi,2017,WNA,Non-Bintang,1281.31
Jambi,2018,WNA,Non-Bintang,848
Jambi,2019,WNA,Non-Bintang,2391
Jambi,2020,WNA,Non-Bintang,102
Jambi,2021,WNA,Non-Bintang,74
Jambi,2003,WNI,Non-Bintang,90666
Jambi,2004,WNI,Non-Bintang,86906
Jambi,2005,WNI,Non-Bintang,83457
Jambi,2006,WNI,Non-Bintang,204777
Jambi,2007,WNI,Non-Bintang,204730
Jambi,2008,WNI,Non-Bintang,162256
Jambi,2009,WNI,Non-Bintang,165815
Jambi,2010,WNI,Non-Bintang,157906
Jambi,2011,WNI,Non-Bintang,505092
Jambi,2012,WNI,Non-Bintang,422225
Jambi,2013,WNI,Non-Bintang,417541.74
Jambi,2014,WNI,Non-Bintang,379978.06
Jambi,2015,WNI,Non-Bintang,198974.92
Jambi,2016,WNI,Non-Bintang,576185
Jambi,2017,WNI,Non-Bintang,608023.39
Jambi,2018,WNI,Non-Bintang,671658
Jambi,2019,WNI,Non-Bintang,429609.7
Jambi,2020,WNI,Non-Bintang,171865
Jambi,2021,WNI,Non-Bintang,461091
Sumatera Selatan,2003,WNA,Berbintang,7.7
Sumatera Selatan,2004,WNA,Berbintang,3.4
Sumatera Selatan,2005,WNA,Berbintang,2.1
Sumatera Selatan,2006,WNA,Berbintang,1.4
Sumatera Selatan,2007,WNA,Berbintang,6.3
Sumatera Selatan,2008,WNA,Berbintang,12.3
Sumatera Selatan,2009,WNA,Berbintang,5.4
Sumatera Selatan,2010,WNA,Berbintang,7.4
Sumatera Selatan,2011,WNA,Berbintang,25.3
Sumatera Selatan,2012,WNA,Berbintang,11.1
Sumatera Selatan,2013,WNA,Berbintang,17.3
Sumatera Selatan,2014,WNA,Berbintang,48.4
Sumatera Selatan,2015,WNA,Berbintang,13.2
Sumatera Selatan,2016,WNA,Berbintang,12.42
Sumatera Selatan,2017,WNA,Berbintang,14.27
Sumatera Selatan,2018,WNA,Berbintang,16.96
Sumatera Selatan,2019,WNA,Berbintang,14.05
Sumatera Selatan,2020,WNA,Berbintang,2.41
Sumatera Selatan,2021,WNA,Berbintang,3.23
Sumatera Selatan,2003,WNI,Berbintang,176.8
Sumatera Selatan,2004,WNI,Berbintang,161.6
Sumatera Selatan,2005,WNI,Berbintang,162.6
Sumatera Selatan,2006,WNI,Berbintang,174.4
Sumatera Selatan,2007,WNI,Berbintang,235.7
Sumatera Selatan,2008,WNI,Berbintang,366.8
Sumatera Selatan,2009,WNI,Berbintang,337.1
Sumatera Selatan,2010,WNI,Berbintang,435.4
Sumatera Selatan,2011,WNI,Berbintang,1178.9
Sumatera Selatan,2012,WNI,Berbintang,693.8
Sumatera Selatan,2013,WNI,Berbintang,769.9
Sumatera Selatan,2014,WNI,Berbintang,1103.6
Sumatera Selatan,2015,WNI,Berbintang,1080.8
Sumatera Selatan,2016,WNI,Berbintang,1471.65
Sumatera Selatan,2017,WNI,Berbintang,1665.4
Sumatera Selatan,2018,WNI,Berbintang,1445.92
Sumatera Selatan,2019,WNI,Berbintang,2013.76
Sumatera Selatan,2020,WNI,Berbintang,2.41
Sumatera Selatan,2021,WNI,Berbintang,1502.83
Sumatera Selatan,2003,WNA,Non-Bintang,264
Sumatera Selatan,2004,WNA,Non-Bintang,210
Sumatera Selatan,2005,WNA,Non-Bintang,3043
Sumatera Selatan,2006,WNA,Non-Bintang,195
Sumatera Selatan,2007,WNA,Non-Bintang,237
Sumatera Selatan,2008,WNA,Non-Bintang,487
Sumatera Selatan,2009,WNA,Non-Bintang,233
Sumatera Selatan,2010,WNA,Non-Bintang,3623
Sumatera Selatan,2011,WNA,Non-Bintang,406
Sumatera Selatan,2012,WNA,Non-Bintang,248
Sumatera Selatan,2013,WNA,Non-Bintang,4913.86
Sumatera Selatan,2014,WNA,Non-Bintang,855.03
Sumatera Selatan,2015,WNA,Non-Bintang,327
Sumatera Selatan,2016,WNA,Non-Bintang,1040
Sumatera Selatan,2017,WNA,Non-Bintang,1287.79
Sumatera Selatan,2018,WNA,Non-Bintang,1045
Sumatera Selatan,2019,WNA,Non-Bintang,1157
Sumatera Selatan,2020,WNA,Non-Bintang,1563
Sumatera Selatan,2021,WNA,Non-Bintang,352
Sumatera Selatan,2003,WNI,Non-Bintang,300652
Sumatera Selatan,2004,WNI,Non-Bintang,328266
Sumatera Selatan,2005,WNI,Non-Bintang,596722
Sumatera Selatan,2006,WNI,Non-Bintang,261814
Sumatera Selatan,2007,WNI,Non-Bintang,254773
Sumatera Selatan,2008,WNI,Non-Bintang,391181
Sumatera Selatan,2009,WNI,Non-Bintang,324533
Sumatera Selatan,2010,WNI,Non-Bintang,379614
Sumatera Selatan,2011,WNI,Non-Bintang,1285950
Sumatera Selatan,2012,WNI,Non-Bintang,897005
Sumatera Selatan,2013,WNI,Non-Bintang,1263664.28
Sumatera Selatan,2014,WNI,Non-Bintang,1103197.45
Sumatera Selatan,2015,WNI,Non-Bintang,517566.81
Sumatera Selatan,2016,WNI,Non-Bintang,1269744
Sumatera Selatan,2017,WNI,Non-Bintang,1288108.09
Sumatera Selatan,2018,WNI,Non-Bintang,1777725
Sumatera Selatan,2019,WNI,Non-Bintang,1159986
Sumatera Selatan,2020,WNI,Non-Bintang,471534
Sumatera Selatan,2021,WNI,Non-Bintang,936355
Bengkulu,2003,WNA,Berbintang,0.1
Bengkulu,2004,WNA,Berbintang,0.2
Bengkulu,2005,WNA,Berbintang,0.3
Bengkulu,2006,WNA,Berbintang,0.3
Bengkulu,2007,WNA,Berbintang,0.2
Bengkulu,2008,WNA,Berbintang,0.1
Bengkulu,2009,WNA,Berbintang,0.2
Bengkulu,2010,WNA,Berbintang,0.1
Bengkulu,2011,WNA,Berbintang,0.2
Bengkulu,2012,WNA,Berbintang,0.6
Bengkulu,2013,WNA,Berbintang,0.9
Bengkulu,2014,WNA,Berbintang,0.8
Bengkulu,2015,WNA,Berbintang,0.6
Bengkulu,2016,WNA,Berbintang,1.42
Bengkulu,2017,WNA,Berbintang,1.07
Bengkulu,2018,WNA,Berbintang,0.7
Bengkulu,2019,WNA,Berbintang,0.56
Bengkulu,2020,WNA,Berbintang,0.09
Bengkulu,2021,WNA,Berbintang,0.03
Bengkulu,2003,WNI,Berbintang,8.9
Bengkulu,2004,WNI,Berbintang,10.3
Bengkulu,2005,WNI,Berbintang,15.1
Bengkulu,2006,WNI,Berbintang,13.3
Bengkulu,2007,WNI,Berbintang,13.5
Bengkulu,2008,WNI,Berbintang,14.3
Bengkulu,2009,WNI,Berbintang,22.1
Bengkulu,2010,WNI,Berbintang,39.1
Bengkulu,2011,WNI,Berbintang,26
Bengkulu,2012,WNI,Berbintang,56.3
Bengkulu,2013,WNI,Berbintang,88.7
Bengkulu,2014,WNI,Berbintang,85.4
Bengkulu,2015,WNI,Berbintang,95.2
Bengkulu,2016,WNI,Berbintang,221.48
Bengkulu,2017,WNI,Berbintang,240.81
Bengkulu,2018,WNI,Berbintang,160.72
Bengkulu,2019,WNI,Berbintang,171.82
Bengkulu,2020,WNI,Berbintang,0.09
Bengkulu,2021,WNI,Berbintang,197.24
Bengkulu,2003,WNA,Non-Bintang,95
Bengkulu,2004,WNA,Non-Bintang,41
Bengkulu,2005,WNA,Non-Bintang,19
Bengkulu,2006,WNA,Non-Bintang,175
Bengkulu,2007,WNA,Non-Bintang,24
Bengkulu,2008,WNA,Non-Bintang,124
Bengkulu,2009,WNA,Non-Bintang,140
Bengkulu,2010,WNA,Non-Bintang,132
Bengkulu,2011,WNA,Non-Bintang,435
Bengkulu,2012,WNA,Non-Bintang,422
Bengkulu,2013,WNA,Non-Bintang,337.52
